description;icao;iata;latitude_deg;longitude_deg
April River Airport;APR;APR;-467.666.666.667;142.540.138.889
Girdwood Airport;AQY;AQY;60.966.099;-149.126.007
Bragado Airport;AR-0005;QRF;-35.144;-604.803
[Duplicate] Brigadier Hector Ruiz Airport;AR-0006;CSZ;-374.333.000.183;-618.833.007.812
Caleta Olivia Airport;AR-0007;CVI;-464.318.008.423;-675.186.004.639
Charata Airport;AR-0009;CNT;-272.164;-612.103
General Villegas Airport;AR-0010;VGS;-35;-63
Los Menucos Airport;AR-0011;LMD;-40.817.699;-68.074.699
Saenz Peña Airport;AR-0015;SZQ;-26.815.799.713.134.700;-60.448.299.407.958.900
Valcheta Airport;AR-0017;VCF;-407.000.007.629;-661.500.015.259
Sunchales Aeroclub Airport;AR-0346;NCJ;-309.575;-615.283
Carmen De Patagones Airport;AR-0390;CPG;-407.781;-629.803
Termal Airport;AR-0462;PRQ;-26.753.611;-60.492.222
Colonia Sarmiento Airport;AR-0494;OLN;-45.582.371;-68.999.841
Aragip Airport;ARP;ARP;-988.333.333.333;149.483.333.333
Asbury Park Neptune Air Terminal;ARX;ARX;402.193.055.556;-740.908.333.333
Tau Airport;AS-TAV;TAV;-142.292.003.632;-169.511.001.587
Asirim Airport;ASZ;ASZ;-6.009.722.222.220.000;150.368.611.111
Namatanai Airport;ATN;ATN;-36.695;152.438
Aitape Airport;ATP;ATP;-31.436.111.111.100.000;142.346.805.556
Lady Elliot Island Airstrip;AU-0081;LYT;-241.129;1.527.156
Agnew Airport;AU-AGW;AGW;-12.145.600.318.908.600;1.421.490.020.751.950
Alroy Downs Airport;AU-AYD;AYD;-19.290.800.094.604.400;13.607.899.475.097.600
[Duplicate] Bolwarra Airport;AU-BCK;BCK;-17.388.299.942;144.169.006.348
[Duplicate] Bloomfield Airport;AU-BFC;BFC;-158.736.000.061;145.330.001.831
[Duplicate] Batavia Downs Airport;AU-BVW;BVW;-126.591.997.147;142.675.003.052
Baniyala Airport;AU-BYX;BYX;-1.319.810.009;136.227.005.005
Coolibah Airport;AU-COB;COB;-15.548.299.789.428.700;13.096.200.561.523.400
[Duplicate] Cape Flattery Airport;AU-CQP;CQP;-149.709.997.177;145.311.004.639
Coorabie Airport;AU-CRJ;CRJ;-31.894.399.642.944.300;13.229.600.524.902.300
Carlton Hill Airport;AU-CRY;CRY;-15.501.899.719.238.200;12.853.399.658.203.100
Cresswell Downs Airport;AU-CSD;CSD;-17.947.999.954.223.600;13.591.600.036.621.000
